"filename", "language", "Properties", "Python", "PowerShell", "Batch", "XML", "C", "Markdown", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PcdImagePlugin.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 23, 15, 63
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PcfFontFile.py", "Python", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 34, 62, 257
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PcxImagePlugin.py", "Python", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 53, 45, 222
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PdfImagePlugin.py", "Python", 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 56, 47, 303
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PdfParser.py", "Python", 0, 883, 0, 0, 0, 0, 0, 0, 0, 0, 25, 89, 997
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PixarImagePlugin.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 31, 19, 70
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PngImagePlugin.py", "Python", 0, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 231, 222, 1453
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PpmImagePlugin.py", "Python", 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 52, 54, 348
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PsdImagePlugin.py", "Python", 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 51, 67, 304
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\PyAccess.py", "Python", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 71, 79, 364
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\QoiImagePlugin.py", "Python", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 106
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\SgiImagePlugin.py", "Python", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 51, 48, 232
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\SpiderImagePlugin.py", "Python", 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 61, 58, 319
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\SunImagePlugin.py", "Python", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 53, 28, 140
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\TarIO.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 24, 15, 67
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\TgaImagePlugin.py", "Python", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 37, 48, 256
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\TiffImagePlugin.py", "Python", 0, 1473, 0, 0, 0, 0, 0, 0, 0, 0, 393, 291, 2157
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\TiffTags.py", "Python", 0, 409, 0, 0, 0, 0, 0, 0, 0, 0, 122, 30, 561
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\WalImageFile.py", "Python", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 36, 14, 124
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\WebPImagePlugin.py", "Python", 0, 267, 0, 0, 0, 0, 0, 0, 0, 0, 35, 60, 362
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\WmfImagePlugin.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 44, 44, 179
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\XVThumbImagePlugin.py", "Python", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 79
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\XbmImagePlugin.py", "Python", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 23, 27, 95
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\XpmImagePlugin.py", "Python", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 29, 35, 129
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\__init__.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 85
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\__main__.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\_binary.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 45, 31, 103
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\_deprecate.py", "Python", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 70
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\_tkinter_finder.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 18
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\_util.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 20
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\_version.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\PIL\features.py", "Python", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 73, 61, 330
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 46, 50, 223
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
